input_file,mua,musp,n_int,f,phase,amplitude
6,0.41000000000000003,0.5,1.4149999999999996,0.942478,-0.13819776594757,0.029287379496594
6,0.41000000000000003,0.5,1.4149999999999996,3.14159,-0.23648541871072,0.012548733817947
6,0.41000000000000003,0.5,1.4149999999999996,6.28319,-0.26891410970685,0.0069362377826066
7,0.41000000000000003,0.5,1.4199999999999995,0,0,0.044050002664223
7,0.41000000000000003,0.5,1.4199999999999995,0.125664,-0.022180776607046,0.043573317141983
7,0.41000000000000003,0.5,1.4199999999999995,0.471239,-0.079057650057638,0.0384447732226
7,0.41000000000000003,0.5,1.4199999999999995,0.942478,-0.13819776594757,0.029287379496594
7,0.41000000000000003,0.5,1.4199999999999995,3.14159,-0.23648541871072,0.012548733817947
7,0.41000000000000003,0.5,1.4199999999999995,6.28319,-0.26891410970685,0.0069362377826066
8,0.41000000000000003,0.5,1.4249999999999994,0,0,0.044050002664223
8,0.41000000000000003,0.5,1.4249999999999994,0.125664,-0.022180776607046,0.043573317141983
8,0.41000000000000003,0.5,1.4249999999999994,0.471239,-0.079057650057638,0.0384447732226
8,0.41000000000000003,0.5,1.4249999999999994,0.942478,-0.13819776594757,0.029287379496594
8,0.41000000000000003,0.5,1.4249999999999994,3.14159,-0.23648541871072,0.012548733817947
8,0.41000000000000003,0.5,1.4249999999999994,6.28319,-0.26891410970685,0.0069362377826066
9,0.41000000000000003,0.5,1.4299999999999993,0,0,0.044050002664223
9,0.41000000000000003,0.5,1.4299999999999993,0.125664,-0.022180776607046,0.043573317141983
9,0.41000000000000003,0.5,1.4299999999999993,0.471239,-0.079057650057638,0.0384447732226
9,0.41000000000000003,0.5,1.4299999999999993,0.942478,-0.13819776594757,0.029287379496594
9,0.41000000000000003,0.5,1.4299999999999993,3.14159,-0.23648541871072,0.012548733817947
9,0.41000000000000003,0.5,1.4299999999999993,6.28319,-0.26891410970685,0.0069362377826066
10,0.41000000000000003,0.5,1.4349999999999992,0,0,0.044050002664223
10,0.41000000000000003,0.5,1.4349999999999992,0.125664,-0.022180776607046,0.043573317141983
